"('mid',)","('pid',)"
tt0012303,nm0730018
tt0012303,nm0853130
tt0012304,nm0000122
tt0012313,nm0902376
tt0012313,nm0000485
tt0012314,nm0902376
tt0012314,nm0000485
tt0012334,nm0014251
tt0012334,nm0830249
tt0012334,nm0635245
tt0012347,nm0497736
tt0012347,nm0783865
tt0012347,nm0809467
tt0012349,nm0000122
tt0012364,nm0481248
tt0012364,nm0803705
tt0012382,nm0940820
tt0012382,nm0556945
tt0012397,nm0122364
tt0012397,nm0566338
tt0012408,nm0547966
tt0012409,nm0361892
tt0012409,nm0896542
tt0012465,nm0073238
tt0012465,nm0301930
tt0012486,nm0009266
tt0012486,nm0373511
tt0012486,nm0553066
tt0012494,nm0000485
tt0012494,nm0902376
tt0012499,nm0730018
tt0012499,nm0853130
tt0012499,nm0907778
tt0012512,nm0907778
tt0012512,nm0853130
tt0012513,nm0202617
tt0012513,nm0001196
tt0012513,nm0662701
tt0012513,nm0940689
